LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID1180961 ? ID1181084,1177,1180961,1181084,8.703901028967367E-4,0.9347988976855598,0.009834124843267485,0.029502374529802457,727.5,22.290352660777785,18.683310921603024,0.0,
ID1180040 ? ID1180067,1177,1180040,1180067,0.006184492272723446,1.6937226169891793,0.07864154291927039,0.07864154291927039,694.5,22.41654411093188,18.60846276024641,0.0,
ID1181084 ? ID1181131,1177,1181084,1181131,0.011558039676354156,3.0972962635367525,0.1075083237538106,0.1075083237538106,729.5,22.257888913781095,18.661656989307787,0.0,
ID1180642 ? ID1180699,1177,1180642,1180699,0.03269386073880146,1.1346164810777772,0.09040721865371353,0.18081443730742705,717.0,22.40013667506613,18.634333270219233,0.0,
ID1181165 ? ID1181206,1177,1181165,1181206,0.042887830078615505,1.7732012311294205,0.2070937712211922,0.2070937712211922,731.5,22.367473204864392,18.683983039207824,0.0,
ID1180221 ? ID1180271,1177,1180221,1180271,0.010513222587408286,0.7514055267783311,0.05126700349008192,0.10253400698016384,702.0,22.473666305177687,18.626567387956776,0.0,
ID1180323 ? ID1180385,1177,1180323,1180385,0.022000628503335062,1.2404285038433867,0.07416304420554597,0.14832608841109193,706.0,22.407125040309246,18.674571380297955,0.0,
ID1180789 ? ID1180856,1177,1180789,1180856,0.017917317771150496,1.5375028574516563,0.0669277927529933,0.1338555855059866,722.0,22.37438779173036,18.544253032984678,0.0,
ID1180385 ? ID1180410,1177,1180385,1180410,0.03431114245490052,3.0963676272503444,0.18523267113255298,0.18523267113255298,707.5,22.40326429340356,18.656141383199788,0.0,
ID1180196 ? ID1180221,1177,1180196,1180221,0.03586581812660783,1.9397027047481639,0.18938272921945082,0.18938272921945082,700.5,22.373847607152022,18.674427121997585,0.0,
ID1180489 ? ID1180514,1177,1180489,1180514,0.005946003575112262,3.0911066408563963,0.07711033377642884,0.07711033377642884,711.5,22.331429232975477,18.634761588159073,0.0,
ID1179796 ? ID1179821,1177,1179796,1179821,0.011256671522173693,2.6287364860601463,0.10609746237386497,0.10609746237386497,685.5,22.36769267978248,18.617894086411983,0.0,
ID1180856 ? ID1180886,1177,1180856,1180886,0.01776052517733691,0.2269860084745174,0.13326862037755516,0.13326862037755516,723.5,22.353433310829715,18.67529102377862,0.0,
ID1181281 ? ID1181310,1177,1181281,1181310,0.003625030972589558,1.895126058823974,0.060208230106768276,0.060208230106768276,734.5,22.292518139816536,18.65449122978829,0.0,
ID1181383 ? ID1181422,1177,1181383,1181422,0.029243361789261416,2.3026632132955474,0.17100690567711416,0.17100690567711416,737.5,22.398738085454177,18.686002352604447,0.0,
ID1180293 ? ID1180323,1177,1180293,1180323,0.014084017542644312,2.9296315923490406,0.11867610350295595,0.11867610350295595,704.5,22.371199766156312,18.646616325053923,0.0,
ID1179954 ? ID1180040,1177,1179954,1180040,0.015069856624382857,0.09617163270806418,0.040919781448833736,0.12275934434650121,692.5,22.347926454170086,18.60481126509565,0.0,
ID1180886 ? ID1180920,1177,1180886,1180920,0.010526836382160088,1.9460984292767296,0.10260037223207374,0.10260037223207374,724.5,22.398971614733576,18.725211803852826,0.0,
ID1180435 ? ID1180489,1177,1180435,1180489,0.021262202270152457,1.1591737452931068,0.07290782240293639,0.14581564480587278,710.0,22.35815409515218,18.656511297924418,0.0,
ID1179795 ? ID1179820,1178,1179795,1179820,0.0011530894170904053,NaN,0.033957170333972254,0.033957170333972254,685.5,28.39591992930817,18.369429832092532,0.0,
ID1179820 ? ID1179840,1178,1179820,1179840,0.03422730653366088,1.6271023999772298,0.1850062337697324,0.1850062337697324,686.5,28.389091956535893,18.462282972730193,0.0,
ID1179793 ? ID1179817,1179,1179793,1179817,0.01841929660831604,NaN,0.135717709265652,0.135717709265652,685.5,72.44455534494266,12.43729707281202,0.0,
ID1179799 ? ID1179828,1180,1179799,1179828,0.15041789681277587,NaN,0.3878374618480993,0.3878374618480993,685.5,43.05366835670554,28.62161013884181,0.0,
ID1179812 ? ID1179834,1181,1179812,1179834,0.009475547589126044,NaN,0.09734242440542584,0.09734242440542584,685.5,78.73001554528423,65.05776234015602,0.0,
ID1179887 ? ID1179921,1182,1179887,1179921,0.02548435491877315,1.8506373470467363,0.15963820006117943,0.15963820006117943,689.5,41.956444827632026,1.7075773158270398,0.0,
ID1180035 ? ID1180060,1182,1180035,1180060,0.00768096716728126,2.42638873730023,0.08764112714520085,0.08764112714520085,694.5,42.01080638908159,1.8296271469049739,0.0,
ID1179975 ? ID1180007,1182,1179975,1180007,0.15161447165299247,3.0045982961963826,0.38937703020721764,0.38937703020721764,692.5,41.94261937509103,1.6727045092312514,0.0,
ID1180007 ? ID1180035,1182,1180007,1180035,0.03174474787710091,2.3245652304758977,0.17817055839027085,0.17817055839027085,693.5,41.94842129085929,1.8212512388835047,0.0,
ID1179921 ? ID1179975,1182,1179921,1179975,0.020425248642023747,0.02367596198361041,0.07145846458262266,0.14291692916524532,691.0,42.00130121307785,1.563147333989252,0.0,
ID1180060 ? ID1180084,1182,1180060,1180084,0.04211934670178552,2.56718010738862,0.20522998489934535,0.20522998489934535,695.5,41.98312786281157,1.7653309336987066,0.0,
ID1179860 ? ID1179887,1182,1179860,1179887,0.003961117523717972,NaN,0.06293740957266968,0.06293740957266968,688.5,41.90515877913772,1.7654009669414803,0.0,
ID1179931 ? ID1179960,1183,1179931,1179960,0.0647771781209698,2.8160282173155275,0.2545136108756657,0.2545136108756657,690.5,75.75889210088502,28.7422314617407,0.0,
ID1179960 ? ID1179987,1183,1179960,1179987,0.002520139767139874,0.6413958779171839,0.050200993686777495,0.050200993686777495,691.5,75.61146475500252,28.756664055161053,0.0,
ID1179865 ? ID1179893,1183,1179865,1179893,0.03237115111546614,NaN,0.17991984636350192,0.17991984636350192,688.5,75.62749147744044,28.708796255018278,0.0,
ID1180021 ? ID1180045,1183,1180021,1180045,0.06413682794991847,2.987260850898882,0.25325249840804825,0.25325249840804825,693.5,75.61880769104793,28.756727893770687,0.0,
ID1180175 ? ID1180199,1183,1180175,1180199,0.019505949470925064,1.6904439675912586,0.1396637013361921,0.1396637013361921,699.5,75.57439188926544,28.625558485768003,0.0,
ID1180045 ? ID1180092,1183,1180045,1180092,0.033345734403175065,1.4241728579968398,0.09130407220268856,0.18260814440537712,695.0,75.58355903835965,28.78822869729435,0.0,
ID1180153 ? ID1180175,1183,1180153,1180175,0.017605867649618058,1.5286484203899258,0.1326871043079095,0.1326871043079095,698.5,75.6040560200226,28.710951737261453,0.0,
ID1179893 ? ID1179931,1183,1179893,1179931,0.10851797465598133,2.5308765731301053,0.3294206651926702,0.3294206651926702,689.5,75.73030020370646,28.689435942360596,0.0,
ID1179987 ? ID1180021,1183,1179987,1180021,0.022381332312514955,2.611708492692782,0.14960391810549267,0.14960391810549267,692.5,75.62066258928104,28.702806901860022,0.0,
ID1180092 ? ID1180122,1183,1180092,1180122,0.009421008245368893,2.189131271957094,0.09706187843519666,0.09706187843519666,696.5,75.62028139346114,28.72337537598925,0.0,
ID1180122 ? ID1180153,1183,1180122,1180153,2.5874870842038236E-4,1.8248273633725267,0.016085667795288524,0.016085667795288524,697.5,75.66355975730828,28.742103389538315,0.0,
ID1179952 ? ID1179979,1184,1179952,1179979,0.024505606518318946,2.644338913368369,0.15654266676634504,0.15654266676634504,691.5,31.22589489537001,17.24395626273761,0.0,
ID1179925 ? ID1179952,1184,1179925,1179952,0.06757342862134816,NaN,0.25994889617259037,0.25994889617259037,690.5,31.293041952527144,17.218885653224728,0.0,
ID1179984 ? ID1180016,1185,1179984,1180016,0.06086204854453786,2.8573157111865846,0.24670234807260724,0.24670234807260724,692.5,28.052956665148123,24.18152181559114,0.0,
ID1179957 ? ID1179984,1185,1179957,1179984,0.10539415001859594,NaN,0.32464465191744024,0.32464465191744024,691.5,28.048179118439442,24.237227793948616,0.0,
ID1179966 ? ID1179995,1186,1179966,1179995,0.015710318912816726,2.1998785366523914,0.12534081104259986,0.12534081104259986,691.5,67.76696657728739,36.30101790242421,0.0,
ID1179935 ? ID1179966,1186,1179935,1179966,0.01845513147029326,NaN,0.13584966496202064,0.13584966496202064,690.5,67.82507554305722,36.31347556278784,0.0,
ID1179978 ? ID1180011,1187,1179978,1180011,0.039703362328261896,2.9381976296182186,0.1992570257939777,0.1992570257939777,692.5,72.40060872938315,12.450721784490018,0.0,
ID1180087 ? ID1180114,1187,1180087,1180114,0.024101937230889315,2.6367351673069295,0.1552479862377909,0.1552479862377909,696.5,72.48400795312901,12.460055021190307,0.0,
ID1180038 ? ID1180063,1187,1180038,1180063,5.784724227632967E-4,0.07843255250925024,0.02405145365177117,0.02405145365177117,694.5,72.47300179362426,12.435470059849306,0.0,
ID1180011 ? ID1180038,1187,1180011,1180038,0.003989220183401058,2.29854556428196,0.06316027377553915,0.06316027377553915,693.5,72.47774194594481,12.478790577626093,0.0,
ID1180063 ? ID1180087,1187,1180063,1180087,0.005973554552083729,1.6382285802883467,0.07728877377785036,0.07728877377785036,695.5,72.50947467966446,12.419814145340707,0.0,
ID1180114 ? ID1180169,1187,1180114,1180169,0.015299996887439733,1.1975330802494728,0.06184657809337501,0.12369315618675002,698.0,72.48129625517015,12.512923604504424,0.0,
ID1179951 ? ID1179978,1187,1179951,1179978,0.025650997272859626,NaN,0.16015928718890962,0.16015928718890962,691.5,72.39327457700749,12.425084169548544,0.0,
ID1180169 ? ID1180193,1187,1180169,1180193,0.04345281766751284,2.539960790844859,0.2084533944734718,0.2084533944734718,699.5,72.44903899414456,12.567871148886805,0.0,
ID1179922 ? ID1179949,1188,1179922,1179949,0.015414743210478508,NaN,0.12415612433737817,0.12415612433737817,690.5,73.3494082062665,2.0627558724295887,0.0,
ID1179937 ? ID1179968,1189,1179937,1179968,0.052981015994684674,NaN,0.23017605434685137,0.23017605434685137,690.5,29.671608010356838,39.45897911271355,0.0,
ID1179990 ? ID1180023,1190,1179990,1180023,0.07434138893685119,NaN,0.27265617348017485,0.27265617348017485,692.5,63.296628917958,31.635012946388898,0.0,
ID1180023 ? ID1180046,1190,1180023,1180046,0.12063473083667017,3.039824036970369,0.34732510827273944,0.34732510827273944,693.5,63.30620985346205,31.59568031487519,0.0,
ID1179989 ? ID1180020,1191,1179989,1180020,0.8323106060731781,NaN,0.912310586408586,0.912310586408586,692.5,48.61324907865901,28.932022842594442,0.0,
ID1180053 ? ID1180080,1192,1180053,1180080,0.042109616326204045,0.0022574972404539864,0.20520627750194204,0.20520627750194204,694.5,75.77784119260863,52.74683098973841,0.0,
ID1180032 ? ID1180053,1192,1180032,1180053,0.012200385779439986,NaN,0.11045535649953779,0.11045535649953779,693.5,75.74024781395651,52.59354277819449,0.0,
ID1180043 ? ID1180071,1193,1180043,1180071,0.04459231243997122,NaN,0.21116891920917533,0.21116891920917533,694.5,44.06506132176777,28.052851298871204,0.0,
ID1180071 ? ID1180091,1193,1180071,1180091,0.032593850693953146,0.6504905742469954,0.18053767112143976,0.18053767112143976,695.5,44.15741707403487,27.89180403213173,0.0,
ID1180093 ? ID1180124,1194,1180093,1180124,0.6772715452759422,NaN,0.82296509359507,0.82296509359507,696.5,43.79597736818014,31.30138343614021,0.0,
ID1180120 ? ID1180149,1195,1180120,1180149,0.01763069568656742,NaN,0.13278062993737988,0.13278062993737988,697.5,27.995517006137604,24.261981652125783,0.0,
ID1180141 ? ID1180164,1196,1180141,1180164,0.5039302557956074,NaN,0.7098804517632581,0.7098804517632581,697.5,40.218407639986445,67.43026124469166,0.0,
ID1180146 ? ID1180168,1197,1180146,1180168,0.04838023410364002,NaN,0.2199550729209036,0.2199550729209036,698.5,59.81079094238189,11.551416583815762,0.0,
ID1180201 ? ID1180249,1198,1180201,1180249,1.7748818018989502E-4,1.5687845853308158,0.006661234498760253,0.013322468997520506,701.0,63.30685817576273,31.641687598214105,0.0,
ID1180249 ? ID1180275,1198,1180249,1180275,0.002990181231323055,0.3920932392464521,0.054682549605180764,0.054682549605180764,702.5,63.32789488984736,31.615496291302147,0.0,
ID1180275 ? ID1180332,1198,1180275,1180332,0.006919095282190306,0.742074115013579,0.04159054965430941,0.08318109930861882,704.0,63.31120904739994,31.566550228177793,0.0,
ID1180177 ? ID1180201,1198,1180177,1180201,0.002914110678493927,0.3280597575541404,0.05398250344782027,0.05398250344782027,699.5,63.32394640651941,31.630673748724746,0.0,
ID1180332 ? ID1180361,1198,1180332,1180361,4.278627108999113E-4,1.3681949619228366,0.020684842539886818,0.020684842539886818,705.5,63.27102876085026,31.54666579088414,0.0,
ID1180154 ? ID1180177,1198,1180154,1180177,0.03300904507530346,NaN,0.1816839152905492,0.1816839152905492,698.5,63.4029474712042,31.544755358508354,0.0,
