LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_18,18,18,9,0,0,0,0,0,0.4,0.1,0.5,0.23980151567106217,47.731395626004634,58.14043232338588,0.0,6.500772336983644,19.79294772188067,0.18523914389521584,2.5828971980480233,7.833222413492954,129.25639851888022,2.6003089347934574,0.9896473860940337,0.09222039445482642,0.5995037891776553,0.09222039445482641,36.346079777532324
Track_19,19,19,4,1,0,0,0,1,0.2,0.0,0.2,0.05457394648672416,70.50776311147189,3.7740531294439106,0.0,1.1160657582964035,1.9024449479512278,0.20980687969724535,1.2359454472407376,0.8526630415302906,127.33831787109375,0.1779002077293228,0.10155862332389655,0.3067671880954689,0.2728697324336208,0.24449252242102418,31.402501679309903
Track_20,20,20,3,0,0,0,0,0,0.1,0.1,0.2,0.03487980590193203,54.85582090930384,47.8363576922744,0.0,0.5001561194471823,0.7912452273713844,0.20906701152298027,0.7912452273713844,0.4116621642854921,122.76183827718098,0.05001561194471824,0.03956226136856923,0.697378369387629,0.34879805901932026,0.6973783693876291,43.14816791318879
Track_21,21,21,4,0,0,0,0,0,0.15,0.1,0.25,0.05288228655988198,78.06259919954715,27.41192762549334,0.0,2.5784032249473143,3.1744234083905134,2.1418332991267763,2.4189529673246533,0.5344425805727626,122.84753608703613,0.38676048374209715,0.10709166495633884,0.13673135902670291,0.3525485770658799,0.13673135902670291,54.78368526066512
Track_22,22,22,2,0,0,0,0,0,0.04999999999999999,0.15000000000000002,0.2,0.0368441562063673,71.40865073857759,34.87343971262303,0.0,0.7368831241273461,0.7368831241273461,0.7368831241273461,0.7368831241273461,NaN,111.85031127929688,0.0368441562063673,0.0368441562063673,1.0,0.7368831241273461,1.0,NaN
Track_23,23,23,12,2,0,0,0,1,0.65,0.15000000000000002,0.8,0.15798951754137677,35.287064989157805,4.410471506284816,0.0,1.5576597724018046,3.042734420906301,0.4323603201606806,1.2984081733246668,0.9897293422192422,134.78546142578125,0.9125285407480748,0.15798951754137677,0.17313378210818453,0.2430607962175027,0.156042288902871,35.912503634844164
Track_24,24,24,8,2,0,0,0,2,0.5,0.0,0.5,0.03798326532399544,59.188559327764466,32.437049506824806,0.0,1.5478947841256865,4.146533944182344,0.5665412215025312,1.135032675641604,1.20654321245368,127.45940113067627,0.7503584235923453,0.2315672009378505,0.050620162484683436,0.07596653064799087,0.04907732193884214,44.91249124677781
Track_25,25,25,3,0,0,0,0,0,0.1,0.1,0.2,0.9190654895208591,67.5217132068618,34.87256627200514,0.0,9.33833879460624,15.575417154825445,3.1012604343870356,15.575417154825445,8.820560806605743,135.08639780680338,0.9338338794606242,0.9190654895208591,0.9841852065291363,9.19065489520859,0.9841852065291364,9.6128461267543
Track_26,26,26,2,0,0,0,0,0,0.04999999999999999,0.15000000000000002,0.2,0.08425676070038611,79.33143113205625,25.065668179464396,0.0,1.6851352140077225,1.6851352140077225,1.6851352140077225,1.6851352140077225,NaN,122.98091125488281,0.08425676070038611,0.08425676070038611,1.0,1.6851352140077225,1.0,NaN
Track_27,27,27,2,0,0,0,0,0,0.04999999999999999,0.15000000000000002,0.2,0.08591260943950559,62.542376129054546,59.25434826966404,0.0,1.718252188790112,1.718252188790112,1.718252188790112,1.718252188790112,NaN,110.19799041748047,0.08591260943950559,0.08591260943950559,1.0,1.718252188790112,1.0,NaN
Track_28,28,28,2,0,0,0,0,0,0.04999999999999999,0.15000000000000002,0.2,0.036213288742704366,50.88787975969754,15.827880588282095,0.0,0.7242657748540875,0.7242657748540875,0.7242657748540875,0.7242657748540875,NaN,152.19281005859375,0.036213288742704366,0.036213288742704366,1.0,0.7242657748540875,1.0,NaN
Track_29,29,29,7,2,0,0,0,2,0.45000000000000007,0.15000000000000002,0.6000000000000001,0.007045643307869303,71.8420012277039,5.276324538677799,0.0,1.3644056803903237,4.041999707563172,0.17911328041837937,0.8818906042463157,1.51006601691862,120.55779920305524,0.4633201838812565,0.12289140569989977,0.015206855977755155,0.01565698512859845,0.011475315116043317,27.666054830735483
Track_30,30,30,2,0,0,0,0,0,0.04999999999999999,0.15000000000000002,0.2,0.0671720426819917,29.3081763422034,55.700652182407225,0.0,1.3434408536398343,1.3434408536398343,1.3434408536398343,1.3434408536398343,NaN,141.63016510009766,0.0671720426819917,0.0671720426819917,1.0,1.3434408536398343,1.0,NaN
